Date,target_open,close_lag_1,volume_lag_1
2018-06-13,101.72,101.31,18325228
2018-06-14,101.65,100.85,29492875
2018-06-15,101.51,101.42,25691811
2018-06-18,100.01,100.13,65738585
2018-06-19,99.65,100.86,23586037
2018-06-20,101.37,100.86,28653087
2018-06-21,102.08,101.87,26180792
2018-06-22,100.41,101.14,23198188
2018-06-25,100.0,100.41,38923105
2018-06-26,98.82,98.39,35433333
2018-06-27,99.58,99.08,26897244
2018-06-28,97.38,97.54,31298386
2018-06-29,98.93,98.63,26650671
2018-07-02,98.1,98.61,28053214
2018-07-03,100.48,100.01,19564521
2018-07-05,99.5,99.05,14670275
2018-07-06,99.89,99.76,18977402
2018-07-09,101.65,101.16,19234627
2018-07-10,102.0,101.85,18211980
2018-07-11,101.15,102.12,19293140
2018-07-12,102.77,101.98,19644648
2018-07-13,104.37,104.19,24335929
2018-07-16,105.4,105.43,24653500
2018-07-17,104.61,104.91,21786912
2018-07-18,105.94,105.95,25901726
2018-07-19,104.93,105.12,29493927
2018-07-20,108.08,104.4,40171646
2018-07-23,106.3,106.27,56038827
2018-07-24,108.57,107.97,29706955
2018-07-25,107.96,107.66,26316619
2018-07-26,110.74,110.83,30798058
2018-07-27,110.18,109.62,31372110
2018-07-30,107.19,107.68,37005292
2018-07-31,106.49,105.37,34668327
2018-08-01,106.03,106.08,27655152
2018-08-02,105.4,106.28,23628699
2018-08-03,107.8,107.57,26104258
2018-08-06,108.12,108.04,18659599
2018-08-07,108.56,108.13,20265947
2018-08-08,109.33,108.88,16080214
2018-08-09,109.71,109.49,15487502
2018-08-10,109.42,109.67,13677211
2018-08-13,109.24,109.0,18183724
2018-08-14,108.56,108.21,18474884
2018-08-15,108.49,109.56,16788314
2018-08-16,108.3,107.66,29982806
2018-08-17,107.36,107.64,21384289
2018-08-20,107.51,107.58,18061512
2018-08-21,106.92,106.87,17914201
2018-08-22,105.85,105.98,22881861
2018-08-23,107.15,107.06,18000639
2018-08-24,107.67,107.56,18167723
2018-08-27,109.27,108.4,17234020
2018-08-28,109.94,109.6,19662331
2018-08-29,110.45,110.26,19151528
2018-08-30,111.67,112.02,20818044
2018-08-31,111.69,111.95,22798702
2018-09-04,110.85,112.33,23222713
2018-09-05,111.01,111.71,22634641
2018-09-06,108.25,108.49,32872352
2018-09-07,108.23,108.74,23477624
2018-09-10,108.84,108.21,22498646
2018-09-11,108.9,109.38,20727906
2018-09-12,111.43,111.24,24301774
2018-09-13,112.12,111.71,18891064
2018-09-14,113.36,112.91,26055620
2018-09-17,113.69,113.37,19122349
2018-09-18,112.19,112.14,20736516
2018-09-19,113.05,113.21,22170934
2018-09-20,112.28,111.7,21728429
2018-09-21,114.0,113.57,23714512
2018-09-24,113.03,114.26,71229698
2018-09-25,114.8,114.67,27334460
2018-09-26,114.47,114.45,22668014
2018-09-27,114.78,113.98,19352025
2018-09-28,114.19,114.41,19091299
2018-10-01,114.75,114.37,21647811
